name,hubtype,quality,distance,n_points,vflat_obs,evflat_obs,vflat_bst,tf_err_pct,rms_km_s,rms_pct,chi2_red,f_dark_r5,f_dark_r10,f_dark_r20
CamB,Im,2,3.3600,9,0.0000,0.0000,32.1309,inf,14.4283,inf,92.5231,nan,nan,nan
D512-2,Im,2,15.2000,4,0.0000,0.0000,44.2177,inf,5.2078,inf,1.5046,nan,nan,nan
D564-8,Im,2,8.7900,6,0.0000,0.0000,30.7928,inf,6.5093,inf,15.2173,nan,nan,nan
D631-7,Im,1,7.7200,16,57.7000,2.7000,54.6363,5.3098,8.8382,15.3175,20.7742,0.8420,nan,nan
DDO064,Im,1,6.8000,14,46.1000,3.9000,51.9163,12.6166,2.7194,5.8990,0.2770,nan,nan,nan
DDO154,Im,2,4.0400,12,47.0000,1.0000,49.1298,4.5315,3.2263,6.8644,7.8724,0.8716,nan,nan
DDO161,Im,1,7.5000,31,66.3000,1.9000,81.0876,22.3041,15.4633,23.3232,96.0529,0.7685,0.8183,nan
DDO168,Im,2,4.2500,10,53.4000,1.9000,56.4388,5.6907,5.9309,11.1066,17.0779,nan,nan,nan
DDO170,Im,2,15.4000,8,60.0000,1.6000,76.2014,27.0024,11.9702,19.9503,105.4962,0.8158,0.8461,nan
ESO079-G014,Sbc,1,28.7000,15,175.0000,3.5000,157.9803,9.7255,18.7359,10.7062,34.7104,0.5536,0.5401,nan
ESO116-G012,Sd,1,13.0000,15,109.1000,3.1000,95.5178,12.4493,14.1829,12.9999,29.5209,0.6289,nan,nan
ESO444-G084,Im,2,4.8300,7,0.0000,0.0000,44.8904,inf,12.2256,inf,38.0579,nan,nan,nan
ESO563-G021,Sbc,1,60.8000,30,314.6000,11.7000,244.6982,22.2193,65.6295,20.8612,101.9862,0.2476,0.2364,0.3674
F561-1,Sm,3,66.4000,6,50.0000,2.9000,93.5300,87.0601,28.5750,57.1501,31.1941,0.7653,nan,nan
F563-1,Sm,1,48.9000,17,109.9000,12.5000,102.9174,6.3536,20.8126,18.9378,3.4889,0.8159,0.8256,0.8590
F563-V1,Im,3,54.0000,6,0.0000,0.0000,66.8879,inf,27.3777,inf,29.9816,0.8294,nan,nan
F563-V2,Im,1,59.7000,10,116.6000,9.4000,97.6700,16.2350,26.9749,23.1345,5.5446,0.7347,0.7543,nan
F565-V2,Im,2,51.8000,7,0.0000,0.0000,74.0377,inf,8.7783,inf,1.8593,0.8368,nan,nan
F567-2,Sm,3,79.0000,5,0.0000,0.0000,79.9551,inf,17.1110,inf,4.2794,0.8401,nan,nan
F568-1,Sc,1,90.7000,12,0.0000,0.0000,115.4177,inf,33.9018,inf,8.9857,0.7701,0.7330,nan
F568-3,Sd,1,82.4000,18,0.0000,0.0000,116.5962,inf,9.1770,inf,2.6045,0.7519,0.7592,nan
F568-V1,Sd,1,80.6000,15,112.3000,15.8000,105.1524,6.3647,29.1150,25.9261,11.5499,0.7579,0.7891,nan
F571-8,Sc,1,53.3000,13,139.7000,4.3000,99.2844,28.9303,27.0622,19.3717,39.3956,0.5524,0.7503,nan
F571-V1,Sd,2,80.1000,7,83.6000,3.5000,88.0895,5.3702,3.9687,4.7472,0.2573,0.7760,0.8084,nan
F574-1,Sd,1,96.8000,14,97.8000,4.1000,100.7817,3.0488,11.5164,11.7755,6.1340,0.7568,0.7854,nan
F574-2,Sm,3,89.1000,5,0.0000,0.0000,87.7658,inf,35.9792,inf,19.0592,0.8473,0.8116,nan
F579-V1,Sc,1,89.5000,14,112.1000,13.4000,115.7650,3.2694,22.2341,19.8342,4.8648,0.6649,0.7065,nan
F583-1,Sm,1,35.4000,25,85.8000,3.6000,101.0908,17.8215,10.8753,12.6752,4.2902,0.8503,0.8218,nan
F583-4,Sc,1,53.3000,12,0.0000,0.0000,70.8546,inf,2.8365,inf,0.3700,0.7857,nan,nan
IC2574,Sm,2,3.9100,34,66.4000,2.0000,79.2131,19.2968,11.4706,17.2751,53.7948,0.8433,0.8382,nan
IC4202,Sbc,1,100.4000,32,242.6000,11.0000,220.2995,9.1923,34.9316,14.3988,58.6447,0.1390,0.2431,0.4561
KK98-251,Im,2,6.8000,15,33.7000,1.6000,46.0166,36.5477,9.4116,27.9275,22.1444,nan,nan,nan
NGC0024,Sc,1,7.3000,29,106.3000,7.9000,84.8322,20.1955,26.4112,24.8459,16.3112,0.6238,0.8056,nan
NGC0055,Sm,2,2.1100,21,85.6000,5.0000,103.9317,21.4156,12.3775,14.4597,22.4544,0.6789,0.7453,nan
NGC0100,Scd,1,13.5000,21,88.1000,6.4000,82.4209,6.4462,5.8303,6.6178,1.2896,0.7093,nan,nan
NGC0247,Sd,2,3.7000,26,104.9000,8.0000,106.3454,1.3778,4.1921,3.9963,7.3541,0.7293,0.7396,nan
NGC0289,Sbc,2,20.8000,28,163.0000,8.0000,191.2763,17.3474,19.2694,11.8217,6.9248,0.1560,0.4085,0.6471
NGC0300,Sd,2,2.0800,25,93.3000,7.0000,83.3658,10.6476,8.8896,9.5280,5.8872,0.7292,0.8096,nan
NGC0801,Sc,1,80.7000,13,220.1000,6.2000,250.0606,13.6123,26.1858,11.8972,35.8741,0.0839,0.2128,0.4208
NGC0891,Sb,1,9.9100,18,216.1000,5.7000,201.8052,6.6149,22.8146,10.5574,19.7584,0.0481,0.2270,nan
NGC1003,Scd,1,11.4000,36,109.8000,4.2000,120.9186,10.1262,4.8425,4.4103,4.6012,0.5849,0.7421,0.8523
NGC1090,Sbc,1,37.0000,24,164.4000,3.7000,176.4949,7.3570,11.9582,7.2738,11.2080,0.3188,0.4365,0.6295
