s,rho,d_l0,d_lge1,ratio
3.0,10,1220811.674381339,0.0814885606002467,14981387.146721095
3.0,30,296657236.8746654,0.005614588819512476,52836858835.2699
3.0,60,9493031579.989292,0.0007535229505214006,12598198334132.469
3.0,100,122081167438.13391,0.00016530780768075074,738508175451108.1
3.0,137,589184766428.8099,6.45525295831127e-05,9127214227449018.0
3.0,200,3906597358020.285,2.0800093528204005e-05,1.8781633614883088e+17
3.0,300,29665723687466.54,6.170532140657619e-06,4.807644302182492e+18
3.0,500,381503648244168.44,1.3336701585925624e-06,2.860554731514527e+20
2.5,10,103692.775514337,0.1631288443501446,635649.5439382121
2.5,30,8399114.816661296,0.01016980387294451,825887590.5174621
2.5,60,134385837.06658074,0.0013490321703175984,99616480632.1429
2.5,100,1036927755.14337,0.00029519554133621527,3512680951919.7754
2.5,137,3652840992.740503,0.00011519574975335246,31709859092559.07
2.5,200,16590844082.29392,3.710313812639773e-05,447154740005402.7
2.5,300,83991148166.61298,1.1004759067585445e-05,7632256885478683.0
2.5,500,648079846964.6062,2.378272217930048e-06,2.7250028069901462e+17
2.2,10,23414.99947278624,0.25180910963905223,92987.10243783367
2.2,30,981084.5089669934,0.014676640326735988,66846668.38770871
2.2,60,10356390.165749507,0.001931963771180829,5360550917.277095
2.2,100,58815819.46949578,0.0004220440332398032,139359438440.5784
2.2,137,171531577.11435196,0.00016462353319716242,1041962675584.8817
2.2,200,620863512.5487208,5.300897162557626e-05,11712423265520.602
2.2,300,2464372866.238431,1.5720338374704692e-05,156763347422839.72
2.2,500,13995620798.98847,3.3971405728762796e-06,4119823863261185.0
2.1,10,14241.711404701915,0.2926146399345975,48670.53612862668
2.1,30,479016.19430763344,0.01664973027194867,28770207.473851755
2.1,60,4401960.91534495,0.0021857359377998103,2013949095.6881187
2.1,100,22571591.454307877,0.0004771980960066661,47300254638.8881
2.1,137,61811316.819992684,0.00018610788432322156,332126266680.042
2.1,200,207423599.78582877,5.992126228488332e-05,3461602641140.5674
2.1,300,759189505.4367986,1.7769416695544025e-05,42724503479463.0
2.1,500,3892836779.4866333,3.8398512913861495e-06,1013798838569437.5
2.05,10,11105.125406852258,0.3158787571335431,35156.29068452165
2.05,30,334656.5710627933,0.017752440732585226,18851299.159586515
2.05,60,2869408.255427943,0.0023272455896049993,1232963236.9890814
2.05,100,13980524.575847335,0.0005079383633879831,27524057215.517834
2.05,137,37098574.76782523,0.00019808070301996912,187290201429.08728
2.05,200,119871641.86183709,6.377304895290708e-05,1879659885014.3696
2.05,300,421307661.53485066,1.891119585809709e-05,22278213641072.41
2.05,500,2052723625.1372328,4.086531920556879e-06,502314349928656.5
