beta,T,label,l_max,m_max,mode_slots,lnZ,F,delta_F
0.1,10.0,high-T  (T=10),5,3,1372,1175.1544768459219,-11751.544768459218,nan
0.1,10.0,high-T  (T=10),10,5,18876,9073.21409677298,-90732.14096772979,-78980.59619927057
0.1,10.0,high-T  (T=10),15,8,117912,34169.21694023057,-341692.16940230574,-250960.02843457594
0.1,10.0,high-T  (T=10),20,8,331177,64460.935373009226,-644609.3537300922,-302917.18432778644
0.1,10.0,high-T  (T=10),25,10,928746,119657.92855495057,-1196579.2855495056,-551969.9318194134
0.1,10.0,high-T  (T=10),30,12,2182400,189921.9252637061,-1899219.2526370608,-702639.9670875552
0.1,10.0,high-T  (T=10),40,15,8033991,340159.0860968769,-3401590.8609687686,-1502371.6083317078
0.1,10.0,high-T  (T=10),50,20,24972116,523435.76059985236,-5234357.6059985235,-1832766.745029755
1.0,1.0,mid-T   (T=1) ,5,3,1372,16.035554048939634,-16.035554048939634,nan
1.0,1.0,mid-T   (T=1) ,10,5,18876,18.37153354362454,-18.37153354362454,-2.3359794946849064
1.0,1.0,mid-T   (T=1) ,15,8,117912,18.766807208829118,-18.766807208829118,-0.3952736652045772
1.0,1.0,mid-T   (T=1) ,20,8,331177,18.767657972510353,-18.767657972510353,-0.000850763681235378
1.0,1.0,mid-T   (T=1) ,25,10,928746,18.796410443709824,-18.796410443709824,-0.02875247119947133
1.0,1.0,mid-T   (T=1) ,30,12,2182400,18.801794893092538,-18.801794893092538,-0.005384449382713541
1.0,1.0,mid-T   (T=1) ,40,15,8033991,18.802876937212414,-18.802876937212414,-0.0010820441198760022
1.0,1.0,mid-T   (T=1) ,50,20,24972116,18.802958342615124,-18.802958342615124,-8.14054027102884e-05
50.0,0.02,low-T   (T=0.02),5,3,1372,4.927253685157205,-0.0985450737031441,nan
50.0,0.02,low-T   (T=0.02),10,5,18876,4.927253685157205,-0.0985450737031441,0.0
50.0,0.02,low-T   (T=0.02),15,8,117912,4.927253685157205,-0.0985450737031441,0.0
50.0,0.02,low-T   (T=0.02),20,8,331177,4.927253685157205,-0.0985450737031441,0.0
50.0,0.02,low-T   (T=0.02),25,10,928746,4.927253685157205,-0.0985450737031441,0.0
50.0,0.02,low-T   (T=0.02),30,12,2182400,4.927253685157205,-0.0985450737031441,0.0
50.0,0.02,low-T   (T=0.02),40,15,8033991,4.927253685157205,-0.0985450737031441,0.0
50.0,0.02,low-T   (T=0.02),50,20,24972116,4.927253685157205,-0.0985450737031441,0.0
