N_max,lnZ_low_T,expected_lnZ,F_low_T,T_c,Cv_max
1,0.6931471805599453,0.6931471805599453,-0.006931471805599453,8.22724134170047,136835.67228290482
2,1.0986122886681098,1.0986122886681098,-0.010986122886681098,9.617248711152964,201108.65048482077
5,1.791759469228055,1.791759469228055,-0.01791759469228055,15.361749466718281,272187.3655903618
10,2.3978952727983707,2.3978952727983707,-0.023978952727983706,20.991037201085547,303703.0704773497
20,3.044522437723423,3.044522437723423,-0.03044522437723423,33.529241492495565,319750.17413031304
50,3.9318256327243257,3.9318256327243257,-0.039318256327243256,62.60516572014822,327836.0185865313
100,4.61512051684126,4.61512051684126,-0.0461512051684126,100.0,329892.6213523373
137,4.927253685157205,4.927253685157205,-0.04927253685157205,100.0,330153.7735806778
200,5.303304908059076,5.303304908059076,-0.053033049080590755,100.0,330218.10809616
500,6.2166061010848646,6.2166061010848646,-0.06216606101084864,100.0,330232.18927904963
1000,6.90875477931522,6.90875477931522,-0.06908754779315221,100.0,330232.57070221007
10000,9.210440366976517,9.210440366976517,-0.09210440366976518,100.0,330232.579712756
