beta,T,lnZ,E_avg,S,F,Cv
0.01,100.0,1512280.139040016,82873098.66873313,2341011.1257273476,-151228013.9040016,924664.7538151593
0.010867836828040895,92.01463141402964,1443652.478362244,75492007.081866,2264087.2931492715,-132837150.6864523,923965.6431321055
0.0118109877320922,84.6669239425973,1375742.1426769726,68705949.96335249,2187227.2748158695,-116479855.35865708,923128.1586922705
0.012835988745037075,77.90595799537776,1308605.3305479041,62467963.40083185,2110443.4056863696,-101948151.91419244,922131.8093035374
0.013949943120763236,71.6848800990156,1242301.9684570753,56734852.245788336,2033749.930250729,-89054267.65561649,920951.1524252594
0.015160570559690643,65.96057820269829,1176895.8506003122,51466900.60139513,1957163.428656348,-77628730.78995302,919555.4201677442
0.016476260706271853,60.69338291177561,1112454.7522577462,46627602.21721897,1880703.2824969855,-67518642.25080386,917907.9451039433
0.017906131289202435,55.84679257897597,1049050.5103215054,42183410.43940594,1804392.1958758207,-58586106.254794,915965.4091205449
0.01946009130725296,51.387220348102396,986759.0627231769,38103506.88335033,1728256.7857997161,-50706805.38664289,913676.9302096217
0.021148909698600223,47.28376139722166,925660.4366113793,34359587.73946905,1652328.2549945416,-43768707.21958048,910982.9965094103
0.022984289969535866,43.50797876834276,865838.6731454905,30925666.49976765,1576643.1594773114,-37670890.60802407,907814.2566652967
0.024978951299729282,40.03370629938487,807381.6746842543,27777891.846084666,1501244.2823167504,-32322480.835814938,904090.1802154259
0.02714671668610379,36.83686729275415,750380.9579779041,24894379.43498337,1426181.623575766,-27641683.768041782,899717.6100546493
0.029502608736163106,33.89530766390297,694931.2947770604,22255056.327748124,1351513.5140158841,-23554910.04174291,894589.2432285473
0.032062953774615446,31.188642413591655,641130.2191553847,19841516.834086798,1277307.856224964,-19995981.145784944,888582.0997692645
0.03484549498475384,28.698114359906096,589077.3789702052,17636888.55769198,1203643.4907539235,-16905409.988520693,881556.0676017775
0.03786951536866223,26.40646415104429,538873.7074968135,15625707.447708007,1130611.6758340118,-14229749.238954931,873352.6534168051
0.04115597137836079,24.297810658061287,490620.3907040903,13793800.671877109,1058317.6563546783,-11921001.358312039,863794.1219657658
0.04472763814395463,22.357540918693903,444417.6063429393,12128176.137697432,986882.2799760153,-9936084.818800265,852683.2713535987
0.04860926730521569,20.57220886957705,400363.0135784979,10616917.503036857,916443.5944410396,-8236351.538990173,839804.170690477
0.05282775854037073,18.929442165065637,358549.97703620314,9249083.547441911,847158.3294001799,-6787151.053592419,824924.2741451596
0.057412345980789294,17.41785643691706,319065.5177037728,8014610.834749167,779203.1278497744,-5557437.3813349325,807798.4148706307
0.06239480080342473,16.026976400654075,281987.9960732366,6904218.707067148,712775.3470039698,-4519414.958333496,788175.259802956
0.06780965140497353,14.747163261875354,247384.55114257563,5909315.836124052,648093.1980320374,-3648220.364165316,765806.846730411
0.0736944226835586,13.569547919439804,215308.3431601925,5021907.851096567,585394.9430167844,-2921636.8799674218,740461.7941402831
0.08008989608615905,12.485969502622662,185795.67856167565,4234505.994141277,524936.823608668,-2319839.1762401653,711942.6235370338
0.08704039222391276,11.488918816306393,158863.1318494461,3540037.3516506525,466989.3714244203,-1825165.624722465,680107.3074224405
0.09459407801381635,10.571486302281425,134504.81931608013,2931757.97901577,411831.76230072643,-1421915.8549907792,644894.5974803063
0.10280330047531269,9.727314156028884,112690.01980235573,2403171.154099344,359743.94605083455,-1096171.22486663,606351.862248266
0.11172494949497568,8.950552267154709,93361.37218387313,1947953.981620677,310996.4323989801,-835635.8414650403,564663.0874660332
0.12142085207325057,8.23581767814248,76433.89979573194,1559896.4792365516,265837.85945069767,-629495.66314706,520173.47293964116
0.13195820078537782,7.578157280474297,61795.108653495896,1232857.8819766087,224480.81658320085,-468293.05254019017,473405.93018830987
0.14341001942573442,6.973013489603876,49306.36909237792,960744.9217152292,187086.81697873463,-343813.97680453886,425064.11631678924
0.15585566906250567,6.416192660909573,38805.71180213984,737515.9836282776,153751.75887481702,-248984.92326626164,376016.8948356295
0.1693813980096453,5.903836027749964,30112.047639629265,557213.1106849345,124493.5833167467,-177776.59172416653,327260.7234767929
0.1840809395274276,5.432392960222818,23030.664001748475,414020.8254196519,99244.00652891908,-125111.6169923555,279859.62740291137
0.20005616139365456,4.9985963593107225,17359.67848182193,302346.98337131593,77846.05538403851,-86774.0256580398,234866.85470794322
0.21741777184704525,4.599440015894865,12896.97316019666,216917.0284209576,60058.590155163445,-59318.854436930575,193237.1636332391
0.2362860867949911,4.232157777735047,9447.025690589446,152870.0011114419,45568.08004155799,-39981.303252890924,155742.58120046576
0.2567918636024272,3.8942043800430914,6827.027955135782,105843.3826209949,34006.747428365816,-26585.84216556639,122905.90124313896
0.27907720723997126,3.583237806805648,4871.7564082225035,72034.95084557193,24975.069313873326,-17456.661747490565,94964.13710410707
0.3032965550709361,3.2971030606203766,3436.824244682373,48233.29274384014,18065.815773617065,-11331.563735956564,71868.64413833973
0.3296177471017851,3.0338172285705314,2400.173465772479,31813.77027242723,12886.556749783687,-7281.687612018391,53320.98225590017
