12 0 012123030312 k=12 r=2 ed=(2, 2) Nc=4
12 0 012123230301 k=12 r=2 ed=(2, 2) Nc=4
12 0 012132303012 k=12 r=2 ed=(2, 2) Nc=4
12 0 012132303201 k=12 r=2 ed=(2, 2) Nc=4
12 0 012312030231 k=12 r=2 ed=(2, 2) Nc=4
12 0 012312031032 k=12 r=2 ed=(2, 2) Nc=4
12 0 012313201203 k=12 r=2 ed=(2, 2) Nc=4
12 0 012313230201 k=12 r=2 ed=(2, 2) Nc=4
12 0 012323031012 k=12 r=2 ed=(2, 2) Nc=4
12 0 012323201013 k=12 r=2 ed=(2, 2) Nc=4
14 0 01212320301012 k=12 r=2 ed=(2, 2) Nc=3
14 0 01212323031012 k=12 r=2 ed=(2, 2) Nc=4
14 0 01213203020123 k=12 r=2 ed=(2, 2) Nc=4
14 0 01213203020321 k=12 r=2 ed=(2, 2) Nc=4
14 0 01213230301012 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231203020123 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231203020321 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231203120123 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231203123120 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231230120123 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231230123120 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231303020123 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231303020213 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231303102123 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231303120123 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231323102103 k=12 r=2 ed=(2, 2) Nc=4
14 0 01231323120103 k=12 r=2 ed=(2, 2) Nc=4
14 0 01232303010123 k=12 r=2 ed=(2, 2) Nc=4
14 0 01232303010213 k=12 r=2 ed=(2, 2) Nc=4
14 0 01232320101032 k=12 r=2 ed=(2, 2) Nc=4
15 0 012121203030312 k=12 r=2 ed=(2, 2) Nc=4
15 0 012121203030321 k=12 r=2 ed=(2, 2) Nc=4
15 0 012121230303012 k=12 r=2 ed=(2, 2) Nc=4
15 0 012121230303021 k=12 r=2 ed=(2, 2) Nc=4
15 0 012121320303012 k=12 r=2 ed=(2, 2) Nc=4
15 0 012123230301012 k=12 r=2 ed=(2, 2) Nc=4
15 0 012131203020321 k=12 r=2 ed=(2, 2) Nc=4
15 0 012131230302021 k=12 r=2 ed=(2, 2) Nc=4
15 0 012131303020213 k=12 r=2 ed=(2, 2) Nc=4
15 0 012132303020123 k=12 r=2 ed=(2, 2) Nc=4
15 0 012132320301012 k=12 r=2 ed=(2, 2) Nc=4
15 0 012132323021013 k=12 r=2 ed=(2, 2) Nc=3
15 0 012312303020123 k=12 r=2 ed=(2, 2) Nc=4
15 0 012312303120123 k=12 r=2 ed=(2, 2) Nc=4
15 0 012312303123120 k=12 r=2 ed=(2, 2) Nc=4
15 0 012312320103032 k=12 r=2 ed=(2, 2) Nc=4
15 0 012312320103132 k=12 r=2 ed=(2, 2) Nc=4
15 0 012312320123130 k=12 r=2 ed=(2, 2) Nc=4
15 0 012312323103102 k=12 r=2 ed=(2, 2) Nc=4
15 0 012312323120103 k=12 r=2 ed=(2, 2) Nc=4
15 0 012313203020123 k=12 r=2 ed=(2, 2) Nc=4
15 0 012313203102123 k=12 r=2 ed=(2, 2) Nc=4
15 0 012313203120123 k=12 r=2 ed=(2, 2) Nc=4
15 0 012313230102023 k=12 r=2 ed=(2, 2) Nc=4
15 0 012313230102123 k=12 r=2 ed=(2, 2) Nc=4
15 0 012313230120123 k=12 r=2 ed=(2, 2) Nc=4
15 0 012321203010312 k=12 r=2 ed=(2, 2) Nc=4
15 0 012321303010213 k=12 r=2 ed=(2, 2) Nc=4
15 0 012321320103032 k=12 r=2 ed=(2, 2) Nc=4
15 0 012321323013012 k=12 r=2 ed=(2, 2) Nc=3
15 0 012323203010123 k=12 r=2 ed=(2, 2) Nc=4
15 0 012323230101023 k=12 r=2 ed=(2, 2) Nc=4
16 0 0121230303012123 k=12 r=2 ed=(2, 2) Nc=4
16 0 0121232303010123 k=12 r=2 ed=(2, 2) Nc=4
16 0 0121320303201213 k=12 r=2 ed=(2, 2) Nc=3
16 0 0121320303213210 k=12 r=2 ed=(2, 2) Nc=3
16 0 0121320310203231 k=12 r=2 ed=(2, 2) Nc=3
16 0 0121320310213230 k=12 r=2 ed=(2, 2) Nc=3
16 0 0121320313201203 k=12 r=2 ed=(2, 2) Nc=3
16 0 0121320313203201 k=12 r=2 ed=(2, 2) Nc=3
16 0 0121323013201203 k=12 r=2 ed=(2, 2) Nc=3
16 0 0121323013210203 k=12 r=2 ed=(2, 2) Nc=3
16 0 0121323030201213 k=12 r=2 ed=(2, 2) Nc=3
16 0 0121323030210213 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123120301203231 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123120301231230 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123120310203231 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123120310231230 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123123010230231 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123123010231230 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123123030201213 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123123030231210 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123123031201203 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123123031230201 k=12 r=2 ed=(2, 2) Nc=3
16 0 0123132031020123 k=12 r=2 ed=(2, 2) Nc=4
16 0 0123132301020123 k=12 r=2 ed=(2, 2) Nc=4
16 0 0123230301012123 k=12 r=2 ed=(2, 2) Nc=4
16 0 0123232031010123 k=12 r=2 ed=(2, 2) Nc=4
