Total junctions = 12, state space = 4096 in every arrangement (N1 control).
Scores: (a) bit-decades = sum R(T) over half-decades T=10^0.5..10^6; (b) persistence =
largest T with R(T) > 1e-9.

  split      topology    bit-decades    persistence   R(T)
  n=2 x 6    none               0.00              1   12.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0
  n=2 x 6    cycle             19.87          1e+03   12.0 3.3 3.3 3.3 3.3 3.3 3.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0
  n=2 x 6    allpairs          19.87          1e+03   12.0 3.3 3.3 3.3 3.3 3.3 3.3 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0

  n=3 x 4    none               0.00              1   12.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0
  n=3 x 4    cycle             10.01          1e+03   12.0 1.7 1.7 1.7 1.7 1.7 1.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0
  n=3 x 4    allpairs          10.01          1e+03   12.0 1.7 1.7 1.7 1.7 1.7 1.7 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0

  n=4 x 3    none               0.00              1   12.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0
  n=4 x 3    cycle              5.02          1e+03   12.0 0.8 0.8 0.8 0.8 0.8 0.8 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0
  n=4 x 3    allpairs           5.02          1e+03   12.0 0.8 0.8 0.8 0.8 0.8 0.8 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0

  n=6 x 2    none               0.00              1   12.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0
  n=6 x 2    cycle              1.26          1e+03   12.0 0.2 0.2 0.2 0.2 0.2 0.2 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0
  n=6 x 2    allpairs           1.26          1e+03   12.0 0.2 0.2 0.2 0.2 0.2 0.2 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0

